Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
Involtini primavera;Antipasti;Pasta fillo;;;0;Pasta fillo;Cipolle;Carote;Verza;Germogli di soia in scatola;olio;sale;;;;;;;;;;;;Rosolare la cipolla a fettine con un po' d'olio.;Aggiungere le carote grattuggiate e la verza a filetti.;Sale e olio.;Cuocere coperto a fuoco basso.;Scoperchiare e rosolare.;Aggiungere i germogli di soia sgocciolati dall'acqua.;Mescolare bene, coprire e far raffreddare.;Sgocciolare bene le verdure con un colino.;Stendere un foglio di pasta fillo tagliata a strisce.;Mettere un cucchiaio di verdure.;Chiudere a triangolo avvolgendolo più volte su se stesso.;Fare dei triangolini ben chiusi.;Pennellarli da tutti i lati con l'olio che è sgocciolato dalle verdure.;Cuocerli in forno a 180° x 15 min.;Servirli caldissimi.;;;;Sono eccezzionali!!!!!!!!!!
Muffin bacon e farina di polenta;Antipasti;Pancetta affumicata;4;;0;120 gr. di bacon a pezzettini piccoli;100 gr. di farina di mais;150 gr. di farina bianca;1 cucchiaino di lievito x torte salate;2 uova;1 tazza di latte ;3 cucchiai di olio di semi;1/2 cucchiaino di sale;1/2 cucchiaino di pepe;;;;;;;;;;Tagliare il becon piccolissimo (più piccolo di quello della scatoletta);Rosolare il bacon in una padella antiaderente.;Quando sono croccanti ma non secchi, mettere su carta assobente.;Mescolare ingredienti secchi e pancetta.;A parte mescolare le uova, i latte e l'olio.;Buttare i liquidi nei secchi e mescolare velocemente con un cucchiaio.;Mettere i pirrottini nello stampo per i muffins.;Scaldare il forno a 190°.;Mettere il composto nei pirottini fino al livello della carta.;Cuocere per 20 min.;Aspettare 5 minuti e metterli sulla griglia a raffreddare.;Servirli freddi.;;;;;;;Buoni ma la pancetta deve essere più piccola dei cubetti che is comprano altrimenti un boccone è tutta pancetta e uno è completamente senza.
Muffins con prosciutto e emmental;Antipasti;Prosciutto;;;0;120 farina;50 gr. di emmental grattugiato;2 uova;120 gr. di burro fuso;60 gr. di prosciutto cotto tritato;3/4 di cucchiaino di sale;1/2 bustina di lievito x torte salate;;;;;;;;;;;;Mescolare tutti gli ingredienti.;Mettere le cartine nello stampo per i muffin.;Mettere il composto (ne vengono 12);Cuocere a 200° per 20 min. circa;(o 10 min nella macchinetta x muffin );;;;;;;;;;;;;;Molto buoni! Guarnire con un ciuffettino minimo di maionese e una fogliolina di prezzemolo
Muffins con zucchine;Antipasti;Zucchine;12;260;3120;120 gr. di farina;120 gr. di burro;200 gr. di piccole zucchine;2 piccoli scalogni;2 uova;1\2 bustina di lievito per t. salate;basilico;sale;pepe;;;;;;;;;;Tagliare le zucchine a rondelle.;In una padella scaldare 20 gr. di burro, unire le zucchine e gli scalogni.;Salare leggermente e far cuocere per 8-10 min. a fiamma dolce.;Trasferirli su di un tagliere e tritarli grossolanamente.;Raccoglierli in un colino e farli sgocciolare per circa 1\2 ora.;Fondere il burro rimasto a bagnomaria e farlo intiepidire.;Sminuzzare il basilico con le mani.;In una ciotola sbattere le uova e incorporarvi la farina con il lievito.;Aggiungere il burro fuso, un pizzico di sale e pepe macinato.;Quando il composto sarà liscio e omogeneo aggiungere le zucchine.;Aggiungere il basilico.;Distribuire il composto negli appositi pirottini nello stampo.;Cuocere in forno caldo a 180° per 45-50 min.;Sformarli tiepidi e servirli subito.;;;;;
Muffins salati;Antipasti;Grana;20;;0;400 gr. di farina;170 gr. di grana;prezzemolo;1 bustina di lievito x torte salate;3 uova;100 gr. di burro sciolto;180 gr. di latte (circa);;;;;;;;;;;;Mescolare i solidi.;Mescolare i liquidi mettendo poco latte.;Amalgamare tutto.;Aggiungere il restante latte per avere una pastella morbida.;Mettere i pirottini nello stampo per muffins.;Mettere il composto a cucchiaiate.;Cuocere a 200° per 20 min. circa.;;;;;;;;;;;;
Mummie di wurstel;Antipasti;Wurstel;4;815;3260;2 confezioni di pasta sfoglia stesa;8 wurstel;senape;;;;(grani di pepe);;;;;;;;;;;;Stendere la pasta sul tavolo.;Tagliare con la ruota dentellata delle strisce.;Spalmare con la senape.;Prendere una striscia di pasta e avvolgerla a spirale intorno ai wurstel.;Sovrapporre leggermente la pasta ad ogni giro. ;Riscaldare il forno a 180°.;Metterli sopra una placca con carta da forno.;Cuocerli fino a doratura;Sistemarli su di un piatto e servirli ancora caldi.;;;;;;;;;;"Se si mettono due grani di pepe come occhi tra i 2 ultimi giri di pasta vengono ""le mummie x hallowwen""!"
Pane al prezzemolo;Antipasti;Prezzemolo;10;192;1920;"pane tipo ""baghette""";burro;prezzemolo;sale;aglio in polvere;;;;;;;;;;;;;;Tagliare il pane per il lungo.;Far sciogliere il burro con il prezzemolo, il sale e l'aglio.;Versare il composto sul pane stendendolo bene.;Coprire con l'altra metà.;Avvolgere in carta d'alluminio. ;Passare in forno caldo per pochi minuti.;Servire subito tagliato a fette.;;;;;;;;;;;;Ricetta di Paula Semenzato.
Pane guttiau (pane carasau e olio);Antipasti;Pane carasau;;;0;Pane carasau;olio ;rosmarino tritato;sale;pepe;;;;;;;;;;;;;;Mescolare l'olio e gli altri ingredienti in una tazza;Con un pennello metterlo sul pane;Infornare da forno spento x 10 min (arrivare a massimo 110°) ;o a 110° x 6 minuti circa;;;;;;;;;;;;;;;Ottimo da solo ma eccezionale con affettati e formaggi. Buono!!!!
Panini ripieni;Antipasti;Lievito di birra;;;0;1 kg. di farina;1 cubetto di lievito;acqua tiepida;2 cucchiaini di zucchero;4 cucchiaini di sale;200 ml. di latte;6 cucchiai di olio;;;;ripieni vari:;;dadini di prosciutto cotto;wurstel;olice snocciolate;pezzetti di gorgonzola;formaggi vari;;Impastare con le fruste e far lievitare bene.;Fare dei piccolissimi panini e al'interno mettere un po' di ripieno.; Far lievitare 1/2 ora e cuocere a 200° per 15 min.;Senza ripieno si possono fare più grandi e poi mettere gli hamburger o;i wurster con verdure e salse varie.;;;;;;;;;;;;;;Il divertente è che  da cotti non si vede il ripieno e si ha la sorpresa. Mia ricetta. Senza ripieno e più grandi si possono farcire da cotti con wurstel o hamburger
Panzerotti;Antipasti;Lievito di birra;;;0;Pasta di pane;chiare;pane grattato;ripieni vari;olio per friggere;;;;;;;;;;;;;;Stendere la pasta e tagliarla a dischetti.;Farcirla a piacere.;Passarli nella chiara d'uovo appena sbattuta con una forchetta.;Passarla nel pane grattato.;Friggerla fino a doratura.;Servirli caldi.;;;;;;;;;;;;;Ripieni: ricotta, pomodoro, mozzarella, basilico, tonno, scamorza, ragù, olive, funghi sott'olio, prosciutto, ecc. Farcire a piacere.
Pizza con le cipolle;Antipasti;Pasta di pane;4;507;2028;Pasta per pizza;1 kg. di cipolle;50 gr. di olive nere snocciolate;qualche filetto di acciuga;1 spicchio d'aglio;olio;sale;pepe;;;;;;;;;;;Affettare a velo le cipolle (con l'apposito disco del robot).;Far scaldare un bicchiere d'olio con lo spicchio d'aglio.;Farlo dorare.;Toglierlo e aggiungere le cipolle.;Metterci un po' d'acqua.;A fiamma bassissima farle stufare molto bene.;Salare e tenere semicoperto.;Cuocere per circa 20 min.;Stendere la pasta.;Distribuirvi le cipolle, qualche filetto di acciuga e le olive a pezzi.;Pepare abbondantemente.;Mettere in forno già caldo per circa 40 min.;;;;;;;
Polpette di melanzane;Antipasti;Melanzane;;;0;Melanzana;grana;pane grattato;sale ;pepe;uovo;aglio in polvere;prezzemolo;olio per friggere;scamorza;;;;;;;;;Lavare la melanzana e togliere la parte verde.;Metterla in forno su una teglia a 180° x 1 ora;Farla raffreddare;Togliere la polpa con un cucchiaio;Mescolarla con tutti gli ingredienti tranne la scamorza;Fare delle palline e mettere un pezzettino di scamorza;Chiudere bene e passarle nel pangrattato;Friggerle in olio caldo;Servirle caldissime;;;;;;;;;;Buonissime! Mettere poco grana nell'impasto perchè non deve sovrastare la melanzana. Fare un impasto morbido. 
Pomodorini sott'olio;Antipasti;Pomodorini secchi;;;0;pomodorini secchi;aceto bianco;olio extravergine;peperoncini interi;spicchi d'aglio;origano;acqua;;;;;;;;;;;;Mettere 3/4 d'acqua e 1/4 d'aceto in una pentola.;Metterci i pomodorini lavati.;Far bollire finchè diventano teneri.;Farli asciugare su dei canovacci ben aperti.;Metterli a strati in vasetti con peperoncini,aglio e origano.;Coprirli con l'olio schiacciando bene per non lasciare aria.;Chiuderli con un po' di pellicola trasparente e il coperchio.;Conservare in frigo.;;;;;;;;;;;Per migliorare l'utilizzo, prima di metterli nei vasetti tagliarli a pezzettini con le forbici.
Quiche lorraine classica;Antipasti;Pancetta;6;550;3300;250 gr. di farina;100 gr. di burro;5 uova;150 gr. di pancetta tesa;un dl di panna liquida;noce moscata;sale;pepe;;;;;;;;;;;Mescolare la farina con un uovo.;Aggiungere 100 gr. di burro a temp. ambiente e un pizzico di sale.;Incorporare 3-4 cucchiai di acqua ghiacciata.;Lavorare molto velocemente.;Stendere la pasta e foderare uno stampo imburrato.;Bucherellare la pasta e metterci carta e fagioli.;Cuocere a 200 gradi per 15 min.;Rosolare la pancetta tagliata a dadini.;Togliere i fagioli alla base e metterci la pancetta sgocciolata.;Sbattere le uova con la panna.;Aggiungerci sale, pepe e una grattata di noce moscata.;Versare il composto sulla pancetta.;Con un pennello intingere nel composto e pennellare i bordi.;Cuocere a 200° per 20 min.;;;;;Si può usare anche della pancetta affumicata. In questo caso la quiche risulterà molto più saporita.
Salatini di speak (I baci del principe);Antipasti;Speak;10;;0;2 rotoli di pasta sfoglia surgelata;3 etti di speck;rosmarino;;;;;;;;;;;;;;;;Stendere la pasta con il mattarello.;Spolverizzare la pasta con il rosmarino.;Passare il mattarello in modo che il rosmarino penetri leggermente.;Coprire la pasta con le fettine di speck.;Ripiegare i lati lunghi del rettangolo verso l'interno.;Ripiegarli nuovamente e farli combaciare.;Mettere le due parti una sopra l'altra per formare un rotolo.;Tagliare il rotolo a fettine non troppo spesse.;Foderare la placca con la carta da forno.;Mettere le fettine sulla placca con il taglio verso l'alto.;Cuocere a 200° per 7 min.;Girare i ventaglietti e cuocerli ancora per altri 7 min.;Servirli tiepidi o a temperatura ambiente.;;La pasta recentemente è troppo sottile. Prenderne 4 rotoli e stenderli 2 a 2.;Non tirere troppo la pasta altrimenti non si gonfia in cottura.;Stendere i 2 rotoli insieme della lunghezza di 2 fette di speck.;;Buonissimi!!!!!!!!!!!!!! Non so perchè Giulia e Paola, nel 18° di Paola, li hanno chiamati Baci del principe....
Salvia fritta;Antipasti;Salvia;8;74;592;125 gr. di farina;1 uovo;acqua q. b.;1 pizzico di sale;foglie di salvia;olio per friggere;;;;;;;;;;;;;Mettere la farina in una ciotola.;Aggiungerci l'uovo.;Aggiungere piano piano l'acqua fino a formare un composto morbido.;Deve filare e non essere troppo fluido.;Lasciare riposare per almeno un'ora prima di utilizzarla.;Intingere le foglie nella pastella e friggerle in olio caldo.;(Dosi per circa 400 gr. di pastella.);;;;;;;;;;;;Si possono preparare delle foglie appaiate con all'interno un pezzettino di acciuga molto piccolo (o pasta d'acciuga), passarle nella pastella e friggerle ( Cal per pers. 86).
Sardelle in saor;Antipasti;Pesce;6;491;2946;Sardelle piccole;olio d'oliva;cipolle;aceto;farina;spicchio d'aglio;foglie d'alloro;pimento;sale;;;;;;;;;;Pulire le sardelle.;Infarinarle e friggerle.;Metterle ad asciugare.;Tagliare le cipolle sottilissime.;Mettere in una padella dell'olio e cuocerci le cipolle.;Quando sono trasparenti togliere dal fuoco.;Versarci dell'aceto (come metà olio).;Mettere l'aglio, il pimento, l'alloro e un po' di sale.;Coprire e portare a bollore.;Togliere l'aglio.;Mettere a strati con le sardine in una terrina.;Far marinare in frigo per 24 ore.;;;;;;;Ricetta della nonna Nina.
Sformato di funghi;Antipasti;Funghi;4;;0;funghi misti surgelati;besciamella pronta;formaggio asiago;2 tuorli;noce moscata;;;;;;;;;;;;;;Cuocere i funghi alla solita maniera.;Scaldare la besciamella con un po' di noce moscata.;Aggiungere il formaggio a pezzetti e far sciogliere.;Far raffreddare e aggiungere i tuorli.;Aggiungere i funghi.;Ungere 4 pirofiline individuali. (Quelle di pirex rosate);Versarci il composto.;Cuocere in forno a 180° per 30 minuti.;Far riposare per circa 2 minuti e servire.;Non si possono sformare ma si mangiano al cucchiaio.;;;;;;;;;buone!
Spanakopita (triangolini di spinaci greci);Antipasti;Feta;;;0;1 confezine di pasta fillo;1 kg di spinaci (o biete);burro;sale;200 gr. di feta;1 uovo;;;;;;;;;;;;;Cuocere gli spinaci con un po' di burro e sale.;Asciugarli bene.;Eventualmente farli sgocciolare in un colino.;Tagliarli con le forbici.;Aggiungere la feta a dadini e l'uovo.;Mescolare bene.;Sciogliere un po' di burro in microonde.;Tagliare la pasta fillo a striscie.;(Con una confezione se ne fanno 16);Spennellare con un po' di burro.;Mettere un po' di ripieno.;Chiudere a triangolini.;Spennellare di burro.;Cuocere a 180° x 20 min. ( fino a doratura);;;;;Ottimi! Acidini e croccanti! Ricetta di Marina Stoppa.
Torta di cipolle;Antipasti;Pasta di pane;6;247;1482;300 gr. di pasta di pane;3 cipolle;50 gr. di olio;5 filetti di acciuga;1\2 bicchiere di latte;;;;;;;;;;;;;;Affettare le cipolle sottilissime.;Rosolarle in una pentola con dell'olio.;Appena iniziano a prendere colore aggiungere il latte e le acciughe.;Cuocere per altri 10 min.;Dividere la pasta in 2 parti.;Metterne una parte nella piccola pirofila di cotto unta con un po' d'olio.;Metterci le cipolle e coprire con la restante pasta.;Chiudere bene i bordi.;Bucherellare la superficie con i rebbi di una forchetta.;Ungere leggermente e salare.;Cuocere in forno a fuoco medio finchè sarà dorata.;;;;;;;;Buona!!!!
Torta di formaggio;Antipasti;Formaggio;6;377;2262;fette di pane da toast;uova;sottilette o altro;fette di prosciutto cotto spesse;sale;;;;;;;;;;;;;;Ungere una pirofila rettangolare.;Metterci le fette di pane da toast.;Su ogni fetta metterci del formaggio e del prosciutto.;Coprire con un'altra fetta di pane.;Sbattere le uova con un pizzico di sale.;Versare il composto sulla torta.;Cuocere in forno finchè l'uovo sia ben cotto e dorato.;Servire caldo.;;;;;;;;;;;Si può fare anche con vari tipi di formaggio e senza prosciutto.                                                                                                                         Ricetta di Ludovica Veluscek.
Torta di formaggio;Antipasti;Formaggio;6;952;5712;pasta sfoglia;prosciutto cotto a dadini;1 cartone di panna;formaggi a scelta;1 uovo;;;;;;;;;;;;;;Si stende la pasta e la si divide in due parti non uguali..;Con la più grande si fodera uno stampo da crostata.;Si tagliano i formaggi a dadini.;Si mettono i formaggi e il prosciutto sulla pasta.;Si versa la panna e si stende bene. ;Si copre con la pasta e si chiudono bene i bordi.;Si sbatte un uovo e si pennella la superficie.;Si cucina in forno caldo finchè è ben dorata. ;Servire tiepida.;;;;;;;;;;Buona!!! Ottima x  finire avanzi di formaggio.
Torta di funghi;Antipasti;Funghi;6;646;3876;1 kg. di funghi ;prezzemolo;olio;1 uovo;pasta sfoglia;besciamella;grana grattato;;;;;;;;;;;;Preparare i funghi con prezzemolo e olio.;Preparare le besciamella morbida. ;Aggiungere abbondante grana.;Far asciugare bene i funghi e aggiungerli alla besciamella.;Stendere la pasta in una teglia e farla uscire dai bordi.;Versarci la besciamella con i funghi.;Coprire solo con la pasta che deborda.;Sbattere l'uovo.;Pennellare la pasta.;Cuocere in forno caldo per circa 30 min.;;;;;;;;;Ricetta della zia Nana.
Torta di patate e cipolla;Antipasti;Patate;6;617;3702;1 kg. di patate;1\2 kg. di cipolle bianche;rosmarino;pasta sfoglia surgelata;sale ;pepe;olio;;;;;;;;;;;;Lessare le patate per 12 min. in pentola a pressione.;Farle raffreddare.;Stendere la pasta in una teglia leggermente unta.;Tagliare le cipolle a filetti molto sottili e disporli sulla pasta.;Tagliare le patate e fettine e disporle sulle cipolle.;Salare, pepare e mettere un filino di olio.;Metterci anche un po' di rosmarino.;Quocere in forno caldo.;La pasta e le patate dovranno essere ben dorate.;;;;;;;;;;Ricetta di Daniela Zanon.
Torta ricciolina di prosciutto;Antipasti;Prosciutto crudo;6;663;3978;2 rotoli di pasta sfoglia già stesa;2 etti di prosciutto crudo;3 etti di ricotta;grana grattuggiato;noce moscata;1 uovo;;;;;;;;;;;;;Mettere il prosciutto e la ricotta in un frullatore.;Aggiungere il grana e la noce moscata.;Frullare bene.;Stendere la pasta.;Stendere il ripieno in modo da coprire anche i bordi.;Arrotolare.;Tagliare il salame a fette alte 2 dita.;Coprire il fondo di una teglia apribile con la carta.;Sistemare i rotolini in piedi uno vicino all'altro.;Sbattere l'uovo.;Pennellare bene la superficie della torta.;La cottura in forno è molto rapida.;;;;;;;Ottima se viene preparata il giorno prima e poi riscaldata al momento di servirla.
Torta ricciolina di spinaci;Antipasti;Spinaci;6;609;3654;2 rotoli di pasta sfoglia già stesa;1 kg. di spinaci già cotte.;300 gr. di ricotta;grana grattuggiato;noce moscata;1 uovo;;;;;;;;;;;;;Frullare le spinaci asciutte con la ricotta.;Aggiungere anche il grana e la noce moscata.;Amalgamare bene.;Stendere la pasta.;Stendere il ripieno in modo che siano coperti bene anche i bordi.;Arrotolare.;Tagliare il salame a fette alte 2 dita.;Foderare di carta il fondo di una teglia apribile.;Mettere i rotolini in piedi uno vicino all'altro.;Sbattere l'uovo e pennellare bene.;La cottura in forno è molto rapida.;;;;;;;;E' ottima se viene preparata il giorno prima e poi riscaldata al momento di servirla.
Torta salata di carote;Antipasti;Carote;6;;0;pasta sfoglia già stesa;1\2 kg. di carote;100 gr. di grana;100 gr. di panna;1 uovo;olio ;prezzemolo;sale;;;;;;;;;;;Cuocere le carote a rondelle in acqua, olio e sale x 20 min.;(prima coperte e poi scoperte);Sbattere l'uovo, aggiungerci la panna il grana e il sale.;Mettere nelle carote.;Mescolare.;Foderare una teglia con carta da forno e metterci la pasta.;Forare con una forchetta.;Mettere le carote e del prezzemolo tritato.;Cuocere in forno caldo a 200° per 40-50 min.;Servire tiepida.;;;;;;;;;Ricetta di Raimonda De Sandre.
